value,site_id,site,deck_id,owner_id
https://tappedout.net/mtg-decks/22-10-19-marchesa-the-black-rose/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/hapatra-snake-party/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/21-12-19-xenagos-god-of-revels/,2,TappedOut,NA,NA
https://archidekt.com/decks/150451,1,Archidekt,150451,NA
https://www.mtggoldfish.com/deck/2545044,4,MTG Goldfish,NA,NA
https://deckstats.net/decks/15358/1485867-baral/en,3,Deckstats,1485867,15358
https://archidekt.com/decks/273414,1,Archidekt,273414,NA
https://deckstats.net/decks/81827/1446226-sliver-queen/en,3,Deckstats,1446226,81827
https://www.mtggoldfish.com/deck/1908219,4,MTG Goldfish,NA,NA
https://tappedout.net/mtg-decks/super-hippo-murder-mode-phelddagrif-primer/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/28-01-20-yarok-lands/,2,TappedOut,NA,NA
https://archidekt.com/decks/383636,1,Archidekt,383636,NA
https://www.archidekt.com/decks/372120,1,Archidekt,372120,NA
http://tappedout.net/mtg-decks/21-08-19-clerics/,2,TappedOut,NA,NA
https://www.archidekt.com/decks/110036,1,Archidekt,110036,NA
https://tappedout.net/mtg-decks/22-06-19-jarad-dredge/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/syggi-river-cuter/,2,TappedOut,NA,NA
https://deckstats.net/decks/148609/1531280-urza-voltron-equipment/en,3,Deckstats,1531280,148609
https://tappedout.net/mtg-decks/olivia-voldaren-the-vampire-masquerade/,2,TappedOut,NA,NA
https://archidekt.com/decks/139480,1,Archidekt,139480,NA
https://tappedout.net/mtg-decks/edh-challenge-feed-the-grimgrin,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/edh-challenge-feed-the-grimgrin/,2,TappedOut,NA,NA
https://archidekt.com/decks/274415,1,Archidekt,274415,NA
https://tappedout.net/mtg-decks/04-08-19-slimefoot/,2,TappedOut,NA,NA
https://deckstats.net/decks/97460/1199940-marchesa-murder-she-likes/en,3,Deckstats,1199940,97460
https://deckstats.net/decks/97460/1003031-derevi-emperor-god-king-of-val/en,3,Deckstats,1003031,97460
https://www.mtggoldfish.com/deck/2294560,4,MTG Goldfish,NA,NA
https://tappedout.net/mtg-decks/plunder-the-graves-2017/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/yawgmoth-thran-physician-or-krrik/,2,TappedOut,NA,NA
https://www.mtggoldfish.com/deck/2713559,4,MTG Goldfish,NA,NA
https://tappedout.net/mtg-decks/ephara-edh-blinkbears/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/kenrith-the-king-of-the-grave/,2,TappedOut,NA,NA
https://archidekt.com/decks/198277,1,Archidekt,198277,NA
https://www.mtggoldfish.com/deck/1969152,4,MTG Goldfish,NA,NA
https://tappedout.net/mtg-decks/22-10-19-elsha-control/,2,TappedOut,NA,NA
https://deckstats.net/decks/99203/1130638-emmara-soul-of-tokens,3,Deckstats,1130638,99203
https://deckstats.net/decks/140167/1519917-lo-s-yuriko-active-/en,3,Deckstats,1519917,140167
https://deckstats.net/decks/140167/1518208-lo-s-feather-active-/en,3,Deckstats,1518208,140167
http://tappedout.net/mtg-decks/08-07-18-oops-all-permanents/,2,TappedOut,NA,NA
"https://deckstats.net/decks/25671/772025-athreos-god-of-passage/en

I enjoyed the rating system suggested on Tolarian Academy where you state what turn your deck is designed to win/average",3,Deckstats,772025,25671
http://tappedout.net/mtg-decks/12-03-19-RaG-hapatra/,2,TappedOut,NA,NA
https://www.mtggoldfish.com/deck/2605788,4,MTG Goldfish,NA,NA
"https://deckstats.net/decks/36717/1203248-selenia-life-swap/en

Selenia life swap/combo",3,Deckstats,1203248,36717
https://archidekt.com/decks/127508,1,Archidekt,127508,NA
https://archidekt.com/decks/201179,1,Archidekt,201179,NA
https://archidekt.com/decks/122868,1,Archidekt,122868,NA
https://archidekt.com/decks/125654,1,Archidekt,125654,NA
https://archidekt.com/decks/184831,1,Archidekt,184831,NA
https://archidekt.com/decks/326847,1,Archidekt,326847,NA
http://tappedout.net/mtg-decks/kykars-burn-unit/,2,TappedOut,NA,NA
https://archidekt.com/decks/341333,1,Archidekt,341333,NA
https://archidekt.com/decks/368048,1,Archidekt,368048,NA
https://tappedout.net/mtg-decks/krenko-combo-ish/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/16-11-19-kruphix-eldrazi/,2,TappedOut,NA,NA
https://archidekt.com/decks/371155,1,Archidekt,371155,NA
https://tappedout.net/mtg-decks/vivi-1/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/kaalia-dragonangel-tribal-kaalia-zenith-seeker/,2,TappedOut,NA,NA
https://deckstats.net/decks/104744/1114653-atraxa-enchantress-v-3-1/en,3,Deckstats,1114653,104744
https://archidekt.com/decks/388977,1,Archidekt,388977,NA
https://archidekt.com/decks/336571,1,Archidekt,336571,NA
https://deckstats.net/decks/136435/1353224-war-no-longer-served-a-purpose/en,3,Deckstats,1353224,136435
https://archidekt.com/decks/87295,1,Archidekt,87295,NA
http://tappedout.net/mtg-decks/kruphixs-monsters-no-eldrazi/,2,TappedOut,NA,NA
https://archidekt.com/decks/389018,1,Archidekt,389018,NA
http://tappedout.net/mtg-decks/daxos-edh-whats-yours-is-mine/,2,TappedOut,NA,NA
https://archidekt.com/decks/310186,1,Archidekt,310186,NA
http://tappedout.net/mtg-decks/teysa-the-aristocrats-1/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/27-02-15-aye-captain/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/reyhanthrasios-counters/,2,TappedOut,NA,NA
https://archidekt.com/decks/304763,1,Archidekt,304763,NA
http://tappedout.net/mtg-decks/24-10-18-shirei-edh,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/maelstrom-wanderer-tempo-1,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/22-11-18-nemata-edh,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/derevi-tempo-value,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/20-01-20-zacama-primal-calamity/,2,TappedOut,NA,NA
https://archidekt.com/decks/351930,1,Archidekt,351930,NA
https://archidekt.com/decks/365303,1,Archidekt,365303,NA
https://deckstats.net/decks/135398/1497000-sidisi-dredgen-of-the-brood/en,3,Deckstats,1497000,135398
https://archidekt.com/decks/86543,1,Archidekt,86543,NA
https://archidekt.com/decks/220467,1,Archidekt,220467,NA
https://archidekt.com/decks/98352,1,Archidekt,98352,NA
https://archidekt.com/decks/366403,1,Archidekt,366403,NA
https://archidekt.com/decks/182061,1,Archidekt,182061,NA
https://archidekt.com/decks/4387,1,Archidekt,4387,NA
https://tappedout.net/mtg-decks/rayami-the-slayer-of-casual-tables/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/kadena-morph-control-2/,2,TappedOut,NA,NA
https://archidekt.com/decks/371618,1,Archidekt,371618,NA
https://archidekt.com/decks/389043,1,Archidekt,389043,NA
https://archidekt.com/decks/389048,1,Archidekt,389048,NA
https://archidekt.com/decks/356133,1,Archidekt,356133,NA
